,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
max,0.248,0.298,0.34700000000000003,0.41100000000000003,0.484,0.5720000000000001,0.768,0.919,1.2819999999999998,1.496,1.595,1.694,1.8230000000000002,1.9669999999999999,2.144,2.537,2.8369999999999997,3.5639999999999996,0.84,0.971,1.093,1.249,1.416,1.611,2.011,2.286,2.878,0.018000000000000002,0.032,0.036000000000000004,0.044000000000000004,0.049,0.055,0.061,0.066,0.092,strahler2
count,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,strahler3
mean,0.128411214953271,0.15655140186915883,0.18490654205607476,0.22357009345794393,0.2684392523364485,0.3260093457943924,0.4617663551401868,0.5721121495327101,0.867514018691589,2.1284112149532715,2.1565514018691596,2.184906542056075,2.223570093457943,2.26843925233645,2.3260093457943927,2.4617663551401865,2.572112149532711,2.867514018691588,0.24600000000000014,0.28991588785046735,0.3326355140186915,0.3880560747663552,0.44947663551401884,0.5239719626168221,0.6839158878504678,0.8000841121495327,1.073822429906542,0.0015046728971962625,0.0022523364485981328,0.002570093457943927,0.003514018691588787,0.004205607476635518,0.0049813084112149564,0.005850467289719629,0.006859813084112153,0.00820560747663552,strahler3
std,0.05204913376674442,0.06260933585892338,0.07300988983282687,0.08696411232807504,0.10269097970436972,0.12244039715399635,0.16569297473403125,0.1971023260300801,0.2668079078799628,0.05204913376674439,0.06260933585892338,0.07300988983282689,0.08696411232807501,0.10269097970436972,0.12244039715399634,0.16569297473403122,0.19710232603008015,0.2668079078799627,0.2417565436861934,0.27895120698299614,0.3144092211585046,0.35939190863981335,0.40808067427054395,0.46574688360078975,0.5853910823317152,0.6693312083291111,0.8455145783093647,0.0013414567678158265,0.002083599289436907,0.002426707333353006,0.003343155457758682,0.0039993827772781205,0.004770153489107614,0.005668189518804902,0.006595379454846557,0.007868900234535684,strahler3
min,0.018000000000000002,0.022000000000000002,0.027000000000000003,0.034,0.042,0.053,0.081,0.106,0.18,2.0180000000000002,2.022,2.0269999999999997,2.0340000000000003,2.042,2.053,2.081,2.106,2.18,0.038,0.045,0.052000000000000005,0.062,0.073,0.08800000000000001,0.11900000000000001,0.14300000000000002,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,strahler3
1%,0.02142,0.027480000000000004,0.03454,0.0446,0.058539999999999995,0.07836,0.1286,0.16666000000000003,0.27784,2.02142,2.0274799999999997,2.0345400000000002,2.0446,2.0585400000000003,2.0783600000000004,2.1286,2.16666,2.2778399999999994,0.038,0.04506,0.053,0.062060000000000004,0.07400000000000001,0.08800000000000001,0.11900000000000001,0.14300000000000002,0.21517999999999998,0.0,0.0,0.0,0.0,6.0000000000000056e-05,6.0000000000000056e-05,0.001,0.001,0.001,strahler3
5%,0.036800000000000006,0.04640000000000001,0.05600000000000001,0.07060000000000001,0.08780000000000002,0.11070000000000002,0.1708,0.2384,0.40800000000000003,2.0368,2.0464,2.056,2.0705999999999998,2.0878,2.1107,2.1708000000000003,2.2384,2.408,0.039,0.046299999999999994,0.0543,0.0646,0.0766,0.09160000000000001,0.12459999999999999,0.1499,0.23149999999999998,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0013000000000000008,strahler3
25%,0.0935,0.114,0.1345,0.16499999999999998,0.2,0.2425,0.347,0.44999999999999996,0.696,2.0934999999999997,2.114,2.1345,2.165,2.2,2.2424999999999997,2.347,2.45,2.6959999999999997,0.1285,0.1545,0.179,0.2125,0.2495,0.2945,0.39349999999999996,0.469,0.652,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.0025,0.003,strahler3
50%,0.134,0.16399999999999998,0.19399999999999998,0.235,0.281,0.33799999999999997,0.47,0.5760000000000001,0.8690000000000001,2.134,2.164,2.194,2.235,2.281,2.338,2.47,2.576,2.8689999999999998,0.16399999999999998,0.196,0.22899999999999998,0.271,0.318,0.374,0.503,0.601,0.84,0.001,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.006999999999999999,strahler3
75%,0.172,0.20850000000000002,0.245,0.295,0.35250000000000004,0.427,0.597,0.731,1.0755,2.1719999999999997,2.2085,2.245,2.295,2.3525,2.427,2.5970000000000004,2.731,3.0755,0.243,0.29,0.33599999999999997,0.397,0.45799999999999996,0.5459999999999999,0.7565,0.9035,1.1745,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.006999999999999999,0.009000000000000001,strahler3
95%,0.19669999999999999,0.23969999999999997,0.28169999999999995,0.3397,0.4057,0.4917,0.6914,0.8501,1.2555,2.1967,2.2397,2.2817000000000003,2.3396999999999997,2.4057,2.4917000000000002,2.6914,2.8501000000000003,3.2554999999999996,0.7346999999999997,0.8515999999999996,0.9638999999999994,1.1072999999999993,1.2643999999999993,1.4533999999999991,1.830999999999999,2.0843,2.6362999999999985,0.005,0.008,0.009000000000000001,0.012699999999999989,0.015,0.018000000000000002,0.021,0.02469999999999999,0.029699999999999987,strahler3
99%,0.19899999999999998,0.242,0.285,0.34393999999999997,0.41100000000000003,0.498,0.701,0.862,1.275,2.199,2.242,2.285,2.34394,2.411,2.498,2.701,2.862,3.275,0.9229199999999999,1.0732599999999999,1.2176599999999997,1.40288,1.60704,1.85214,2.3713999999999995,2.7416199999999993,3.5484,0.005,0.008,0.009939999999999997,0.013000000000000001,0.015939999999999996,0.01894,0.022000000000000002,0.02594,0.03094,strahler3
max,0.2,0.243,0.28600000000000003,0.344,0.41200000000000003,0.498,0.703,0.865,1.2830000000000001,2.2,2.2430000000000003,2.286,2.344,2.412,2.498,2.7030000000000003,2.865,3.283,1.6540000000000001,1.922,2.18,2.512,2.8760000000000003,3.313,4.2330000000000005,4.882,6.255,0.005,0.008,0.01,0.013000000000000001,0.016,0.019,0.022000000000000002,0.026000000000000002,0.031,strahler3
