reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
1044.000,0.036,0.046,0.055,0.069,0.086,0.093,0.107,0.159,0.201,0.313,0.572,0.591,0.611,0.638,0.671,0.685,0.714,0.817,0.902,1.125,485.025,717.711,994.624,1439.138,2054.978,2513.977,2997.854,5888.611,8907.517,19764.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.292,0.336,0.376,0.425,0.477,0.489,0.537,0.655,0.735,0.904
1045.000,0.051,0.064,0.078,0.097,0.120,0.129,0.150,0.220,0.277,0.424,0.602,0.628,0.656,0.694,0.740,0.759,0.799,0.940,1.054,1.348,925.006,1364.347,1889.734,2733.485,3902.442,4772.833,5693.909,11182.138,16901.052,37514.215,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.384,0.438,0.487,0.547,0.610,0.623,0.681,0.820,0.913,1.113
1046.000,0.167,0.201,0.234,0.277,0.325,0.341,0.384,0.512,0.607,0.834,0.833,0.902,0.968,1.055,1.151,1.181,1.268,1.524,1.714,2.168,1041.914,1536.774,2128.387,3078.191,4395.454,5377.528,6410.893,12593.220,19035.987,42243.348,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.007,0.109,0.127,0.144,0.166,0.190,0.198,0.220,0.283,0.330,0.442
1047.000,0.159,0.190,0.219,0.257,0.299,0.313,0.351,0.465,0.550,0.754,0.819,0.879,0.938,1.014,1.099,1.126,1.203,1.430,1.600,2.007,1041.919,1537.077,2128.553,3078.208,4395.853,5377.501,6412.572,12593.220,19041.559,42242.898,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.115,0.137,0.157,0.184,0.213,0.222,0.249,0.326,0.383,0.520
1048.000,0.105,0.134,0.163,0.202,0.248,0.264,0.305,0.433,0.530,0.765,0.710,0.767,0.826,0.905,0.996,1.028,1.110,1.366,1.560,2.030,1041.911,1536.773,2128.254,3078.420,4395.122,5377.479,6412.281,12593.220,19034.960,42243.883,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.190,0.211,0.229,0.252,0.276,0.282,0.304,0.362,0.405,0.507
1049.000,0.070,0.089,0.108,0.135,0.168,0.181,0.209,0.308,0.387,0.591,0.641,0.678,0.717,0.771,0.835,0.861,0.919,1.116,1.275,1.681,1041.916,1536.692,2128.259,3078.494,4394.675,5377.459,6412.187,12593.220,19030.892,42244.359,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.302,0.341,0.375,0.416,0.457,0.464,0.502,0.588,0.644,0.762
105.000,0.059,0.072,0.084,0.100,0.118,0.125,0.141,0.195,0.246,0.550,1.119,1.143,1.167,1.200,1.236,1.250,1.282,1.390,1.493,2.101,388.071,573.184,794.216,1148.895,1640.702,2007.099,2393.760,4701.109,7107.603,15762.012,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.072,0.087,0.102,0.122,0.144,0.152,0.173,0.235,0.266,0.342
1050.000,0.098,0.121,0.144,0.176,0.212,0.225,0.257,0.360,0.440,0.641,0.695,0.742,0.789,0.851,0.923,0.949,1.014,1.220,1.380,1.783,1041.925,1536.535,2128.374,3078.329,4394.835,5377.456,6412.579,12593.220,19032.299,42244.641,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.208,0.238,0.266,0.301,0.339,0.349,0.383,0.473,0.535,0.671
1051.000,0.056,0.070,0.085,0.106,0.131,0.142,0.164,0.241,0.302,0.463,0.611,0.640,0.671,0.713,0.763,0.783,0.827,0.981,1.105,1.426,1022.805,1508.293,2089.261,3021.891,4314.420,5277.320,6294.994,12362.235,18684.810,41470.355,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.385,0.438,0.486,0.545,0.605,0.618,0.673,0.807,0.895,1.082
1052.000,0.063,0.079,0.096,0.118,0.145,0.155,0.178,0.257,0.319,0.477,0.626,0.658,0.691,0.736,0.789,0.810,0.857,1.014,1.139,1.455,926.469,1366.651,1892.693,2737.482,3908.724,4781.037,5702.369,11199.624,16929.463,37572.219,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.304,0.347,0.387,0.436,0.488,0.500,0.548,0.669,0.752,0.937
1053.000,0.075,0.094,0.114,0.141,0.172,0.184,0.212,0.304,0.375,0.554,0.650,0.688,0.727,0.781,0.844,0.867,0.924,1.108,1.251,1.609,926.458,1366.691,1892.775,2737.568,3908.730,4781.042,5702.621,11199.624,16929.264,37572.535,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.251,0.284,0.315,0.354,0.394,0.403,0.440,0.533,0.599,0.747
